date,open,close,low,high
2020-04-09,56.67,58.765,56.665,58.41
2020-04-13,59.335,58.865,58.41,60.765
2020-04-14,59.48,59.525,58.585,60.93
2020-04-15,47.97,45.51,47.07,60.93
2020-04-16,58.26,56.36,45.385,60.0
2020-04-17,58.21,60.115,56.185,60.49
2020-04-20,59.74,59.87,58.82,60.49
2020-04-21,56.23,59.29,56.16,59.9
2020-04-22,59.795,59.495,57.93,59.8
2020-04-23,59.985,58.745,58.265,60.1
2020-04-24,59.415,61.81,58.485,62.025
2020-04-27,61.415,59.945,59.76,62.025
2020-04-28,58.95,57.46,57.325,60.52
2020-04-29,56.97,56.975,56.955,58.075
2020-04-30,56.97,56.975,57.0,58.02
2020-05-01,56.97,56.975,56.35,58.02
2020-05-04,58.99,59.245,53.24,59.945
2020-05-05,59.09,59.05,59.08,59.945
2020-05-06,62.02,60.26,58.92,62.08
2020-05-07,59.73,59.695,58.9,60.8
2020-05-08,60.395,60.375,59.695,60.83
2020-05-11,60.21,58.36,58.355,60.39
2020-05-12,58.555,57.735,56.905,59.39
2020-05-13,56.515,56.52,56.15,59.14
2020-05-14,57.48,58.3,56.49,59.78
2020-05-15,60.005,59.995,57.73,60.27
2020-05-18,60.05,60.285,58.355,61.455
2020-05-19,61.22,63.135,60.285,63.485
2020-05-20,62.765,62.765,61.815,63.79
2020-05-21,62.315,62.315,57.2,62.955
2020-05-22,63.725,63.73,62.12,64.125
2020-05-26,63.09,63.095,61.25,63.585
2020-05-27,61.98,62.315,61.43,63.44
2020-05-28,61.82,63.035,61.575,63.665
2020-05-29,63.035,63.035,61.64,63.665
2020-06-01,61.84,61.84,61.11,63.585
2020-06-02,62.37,61.94,60.83,62.52
2020-06-03,62.205,62.485,61.7,63.47
2020-06-04,62.96,62.96,60.83,65.105
2020-06-05,64.275,64.275,60.995,65.105
2020-06-08,63.665,63.665,62.925,65.08
2020-06-09,62.9935,63.67,62.565,65.08
2020-06-11,60.165,59.3,59.55,62.63
2020-06-12,64.11,63.665,58.15,64.11
2020-06-15,59.33,59.33,58.58,60.36
2020-06-16,61.69,60.365,59.64,61.69
2020-06-17,60.74,60.4,60.06,61.28
2020-06-18,60.35,60.49,59.32,60.51
2020-06-19,60.65,60.08,59.1,60.89
2020-06-22,59.73,59.62,58.83,60.545
2020-06-23,60.19,60.09,59.8612,60.47
2020-06-24,59.64,59.92,58.67,59.805
2020-06-25,58.98,59.09,57.48,59.1
2020-06-26,58.49,58.51,57.07,58.73
2020-06-29,57.47,57.5,56.76,58.35
2020-06-30,58.71,58.27,58.54,59.98
2020-07-01,59.91,59.83,58.76,60.03
2020-07-02,59.19,58.81,58.97,59.81
2020-07-06,58.72,59.13,58.6,59.62
2020-07-07,59.07,59.54,58.14,59.57
2020-07-08,58.45,58.31,57.93,58.7
2020-07-09,58.23,58.61,57.705,58.74
2020-07-10,57.95,58.42,57.4,59.69
2020-07-13,59.895,59.53,58.455,60.605
2020-07-14,57.87,58.58,57.35,59.25
2020-07-15,59.03,58.98,58.42,59.34
2020-07-16,58.54,59.03,58.4,59.36
2020-07-17,59.42,59.14,59.28,60.46
2020-07-20,60.08,60.0,59.34,61.38
2020-07-21,61.52,61.15,60.44,61.93
2020-07-22,61.31,60.7,60.62,61.77
2020-07-23,61.3,61.05,54.81,61.735
2020-07-24,52.45,60.4,49.5,52.45
2020-07-27,50.96,50.59,49.38,51.19
2020-07-28,49.48,49.57,48.75,50.23
2020-07-29,49.49,49.24,47.9,49.5
2020-07-30,47.83,48.07,47.5,48.5
2020-07-31,48.13,47.99,46.97,48.3216
2020-08-03,48.27,47.73,47.74,48.6267
2020-08-04,48.6,48.3,48.5,49.14
2020-08-05,49.72,49.13,48.66,49.72
2020-08-06,48.79,48.589865030675,48.1,48.82
2020-08-07,48.53,48.57,47.7,48.65
2020-08-10,48.2,48.03,48.06,49.39
2020-08-11,49.63,49.22,48.06,49.73
2020-08-12,48.67,48.19,48.24,49.26
2020-08-13,49.26,49.19,48.385,49.33
2020-08-14,48.8,48.56,48.65,49.205
2020-08-17,49.11,48.89,48.73,49.305
2020-08-18,49.26,48.93,48.62,49.57
2020-08-19,48.72,48.65,48.25,48.89
2020-08-20,49.81,48.33,49.0,50.2
2020-08-21,49.02,49.17,48.65,49.31
2020-08-24,49.26,49.28,48.82,49.4
2020-08-25,49.315,49.14,49.21,49.87
2020-08-26,49.39,49.43,49.23,49.675
2020-08-27,49.79,49.55,49.18,49.92
2020-08-28,49.57,49.4,49.35,50.8
2020-08-31,51.0,50.43,50.32,51.5
2020-09-01,50.91,50.95,50.22,51.0
2020-09-02,51.21,50.79,51.09,52.68
2020-09-03,52.52,52.25,50.135,52.615
2020-09-04,50.53,50.39,49.49,51.23
2020-09-08,49.26,50.08,48.85,49.9
2020-09-09,49.53,48.91,49.04,49.9684
2020-09-10,50.0,49.62,48.71,50.1
2020-09-11,49.2635,48.96,48.95,50.05
2020-09-14,48.84,49.28,48.84,49.725
2020-09-15,49.56,49.41,49.56,50.6
2020-09-16,50.51,50.0,50.165,51.035
2020-09-17,49.37,50.37,49.3,50.485
2020-09-18,50.33,50.32,49.04,50.5
2020-09-21,49.4,49.89,48.83,49.82
2020-09-22,49.89,49.72,49.47,50.21
2020-09-23,49.83,49.95,48.66,50.145
2020-09-24,48.53,48.82,48.42,49.64
2020-09-25,48.96,49.16,48.75,50.28
2020-09-28,50.51,49.94,50.16,51.46
2020-09-29,51.305,51.43,50.95,51.735
2020-09-30,51.24,51.19,51.15,52.38
2020-10-01,52.4,51.78,51.99,52.73
2020-10-02,51.5,52.24,50.99,51.985
2020-10-05,51.3,51.01,51.27,51.815
2020-10-06,51.71,51.69,51.23,52.7
2020-10-07,51.855,51.37,51.83,52.9
2020-10-08,52.91,52.67,52.67,53.585
2020-10-09,53.6,53.37,52.665,53.86
2020-10-12,53.68,52.82,53.215,54.2
2020-10-13,54.04,53.88,53.615,54.295
2020-10-14,54.01,53.83,53.51,54.405
2020-10-15,52.75,53.55,52.62,53.98
2020-10-16,53.9,53.85,53.9,54.705
2020-10-19,54.6,54.595,53.835,55.69
2020-10-20,54.575,53.455,53.265,54.7
